arrival;due;baz;id
-91;0;4.5;1
-91;0;4.5;2
-81;10;4.5;3
-81;10;4.5;4
0;10;4.5;5
-71;20;4.5;6
-61;30;4.5;7
-61;30;4.5;8
-51;40;4.5;9
-51;40;4.5;10
-41;50;4.5;11
-41;50;4.5;12
-31;60;4.5;13
-31;60;4.5;14
-21;70;4.5;15
-21;70;4.5;16
-11;80;4.5;17
-11;80;4.5;18
-1;90;4.5;19
-1;90;4.5;20
9;20;4.5;21
9;20;4.5;22
19;110;4.5;23
19;110;4.5;24
29;120;4.5;25
29;120;4.5;26
39;130;4.5;27
39;130;4.5;28
49;140;4.5;29
49;140;4.5;30
59;150;4.5;31
59;150;4.5;32
69;160;4.5;33
69;160;4.5;34
79;170;4.5;35
79;170;4.5;36
89;180;4.5;37
89;180;4.5;38
99;110;4.5;40
99;190;4.5;39
109;200;4.5;41
109;200;4.5;42
119;210;4.5;43
119;210;4.5;44
129;140;4.5;45
129;140;4.5;46
139;230;4.5;47
139;230;4.5;48
149;240;4.5;49
149;240;4.5;50
159;250;4.5;51
159;250;4.5;52
169;260;4.5;53
169;260;4.5;54
179;270;4.5;55
179;270;4.5;56
189;280;4.5;57
189;280;4.5;58
199;290;4.5;59
199;290;4.5;60
209;300;4.5;61
209;300;4.5;62
219;310;4.5;63
219;310;4.5;64
229;240;4.5;66
229;320;4.5;65
239;330;4.5;67
239;330;4.5;68
