arrival;due;baz;id
-91;0;4.5;1
-91;0;4.5;2
-81;10;4.5;3
-61;30;4.5;4
-51;40;4.5;5
-51;40;4.5;6
-41;50;4.5;7
-41;50;4.5;8
-41;50;4.5;9
-31;60;4.5;10
-31;60;4.5;11
-31;60;4.5;12
-31;60;4.5;13
-21;70;4.5;14
-21;70;4.5;15
-21;70;4.5;16
-21;70;4.5;17
-11;80;4.5;18
-11;80;4.5;19
-11;80;4.5;20
-1;90;4.5;21
-1;90;4.5;22
9;100;4.5;23
29;120;4.5;24
39;130;4.5;25
39;130;4.5;26
49;140;4.5;27
49;140;4.5;28
49;140;4.5;29
59;150;4.5;30
59;150;4.5;31
59;150;4.5;32
59;150;4.5;33
69;160;4.5;34
69;160;4.5;35
69;160;4.5;36
69;160;4.5;37
79;170;4.5;38
79;170;4.5;39
79;170;4.5;40
89;180;4.5;41
89;180;4.5;42
99;190;4.5;43
119;210;4.5;44
129;220;4.5;45
129;220;4.5;46
139;230;4.5;47
139;230;4.5;48
139;230;4.5;49
149;240;4.5;50
149;240;4.5;51
149;240;4.5;52
149;240;4.5;53
159;250;4.5;54
159;250;4.5;55
159;250;4.5;56
159;250;4.5;57
169;260;4.5;58
169;260;4.5;59
169;260;4.5;60
179;270;4.5;61
179;270;4.5;62
189;280;4.5;63
209;300;4.5;64
219;310;4.5;65
219;310;4.5;66
229;320;4.5;67
229;320;4.5;68
