Solution ID;Rank;Feasible;Single Objective;Best Iteration;Objective 1;Variable 1;Variable 2;Variable 3;Variable 4;Variable 5;Variable 6;Variable 7;Variable 8;Variable 9;Variable 10;Variable 11;Variable 12;Variable 13;Variable 14;Variable 15;Variable 16;Variable 17;Variable 18;Variable 19;Variable 20;Variable 21;Variable 22;Variable 23;Variable 24;Variable 25;Variable 26;Variable 27;Variable 28;Variable 29;Variable 30;Variable 31;Variable 32;Variable 33;Variable 34;Variable 35;Variable 36;Variable 37;Variable 38;Variable 39;Variable 40;Variable 41;Variable 42;Variable 43;Variable 44;Variable 45;Variable 46;Variable 47;Variable 48;Variable 49;Variable 50;Variable 51;Variable 52;Variable 53;Variable 54;Variable 55;Variable 56;Variable 57;Variable 58;Variable 59;Variable 60;Variable 61;Variable 62;Variable 63;Variable 64;Variable 65;Variable 66;Variable 67;Variable 68;PM
3046;1;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;11;-9;11;31;11;41;41;41;41;31;21;31;195
3142;2;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;21;-9;11;31;11;41;41;41;41;31;21;31;195
3168;3;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;-9;-9;11;31;11;41;41;41;41;31;21;31;195
3186;4;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;1;-9;11;31;11;41;41;41;41;31;21;31;195
3307;5;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;1;-9;11;31;21;41;41;41;41;31;21;31;195
3322;6;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;1;-9;11;31;31;41;41;41;41;31;21;31;195
3335;7;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;1;1;11;31;31;41;41;41;41;31;21;31;195
3338;8;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;1;1;11;31;41;41;41;41;41;31;21;31;195
3351;9;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;-9;11;11;11;1;-9;11;31;41;41;41;41;41;31;21;31;195
3377;10;1;195;3046;195;1;1;1;1;1;1;1;61;21;11;11;1;1;11;1;1;1;1;-9;11;1;11;1;1;1;1;1;1;21;11;1;11;11;21;11;11;1;21;1;1;11;1;1;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;11;31;41;41;41;41;41;31;21;31;195
