Solution ID;Rank;Feasible;Single Objective;Best Iteration;Objective 1;Variable 1;Variable 2;Variable 3;Variable 4;Variable 5;Variable 6;Variable 7;Variable 8;Variable 9;Variable 10;Variable 11;Variable 12;Variable 13;Variable 14;Variable 15;Variable 16;Variable 17;Variable 18;Variable 19;Variable 20;Variable 21;Variable 22;Variable 23;Variable 24;Variable 25;Variable 26;Variable 27;Variable 28;Variable 29;Variable 30;Variable 31;Variable 32;Variable 33;Variable 34;Variable 35;Variable 36;Variable 37;Variable 38;Variable 39;Variable 40;Variable 41;Variable 42;Variable 43;Variable 44;Variable 45;Variable 46;Variable 47;Variable 48;Variable 49;Variable 50;Variable 51;Variable 52;Variable 53;Variable 54;Variable 55;Variable 56;Variable 57;Variable 58;Variable 59;Variable 60;Variable 61;Variable 62;Variable 63;Variable 64;Variable 65;Variable 66;Variable 67;Variable 68;PM;
1;1441;1;320;3566;320.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;11.000000;41.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;320.000000;
2;2072;1;495;3566;495.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;61.000000;21.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;-9.000000;11.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;21.000000;11.000000;1.000000;11.000000;11.000000;21.000000;11.000000;11.000000;1.000000;21.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-9.000000;11.000000;11.000000;11.000000;11.000000;-9.000000;11.000000;31.000000;11.000000;41.000000;41.000000;41.000000;41.000000;31.000000;495.000000;
3;1361;1;300;3566;300.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;31.000000;21.000000;11.000000;11.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;300.000000;
4;2503;1;1110;3566;1110.000000;1.000000;1.000000;1.000000;1.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;41.000000;1110.000000;
5;3716;1;1630;3566;1630.000000;1.000000;1.000000;1.000000;1.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;-9.000000;1630.000000;
6;5408;1;2110;3566;2110.000000;1.000000;1.000000;1.000000;1.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;81.000000;2110.000000;
7;2483;1;910;3566;910.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;910.000000;
8;4200;1;1705;3566;1705.000000;1.000000;1.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;81.000000;1.000000;81.000000;51.000000;71.000000;41.000000;71.000000;1.000000;51.000000;1.000000;31.000000;51.000000;1.000000;51.000000;41.000000;71.000000;11.000000;61.000000;31.000000;21.000000;-9.000000;81.000000;61.000000;11.000000;-9.000000;-9.000000;71.000000;61.000000;51.000000;11.000000;71.000000;1.000000;21.000000;11.000000;51.000000;1.000000;21.000000;-9.000000;61.000000;71.000000;21.000000;71.000000;71.000000;-9.000000;21.000000;71.000000;51.000000;11.000000;1.000000;1.000000;31.000000;1.000000;81.000000;1.000000;-9.000000;81.000000;61.000000;61.000000;11.000000;41.000000;1705.000000;
9;3823;1;1650;3566;1650.000000;1.000000;1.000000;1.000000;1.000000;21.000000;1.000000;21.000000;51.000000;81.000000;11.000000;71.000000;51.000000;71.000000;11.000000;21.000000;1.000000;21.000000;1.000000;1.000000;-9.000000;1.000000;61.000000;1.000000;1.000000;61.000000;71.000000;61.000000;61.000000;51.000000;71.000000;1.000000;11.000000;81.000000;-9.000000;11.000000;21.000000;81.000000;-9.000000;51.000000;51.000000;51.000000;51.000000;1.000000;21.000000;61.000000;61.000000;41.000000;61.000000;1.000000;41.000000;61.000000;61.000000;41.000000;11.000000;1.000000;31.000000;-9.000000;11.000000;71.000000;61.000000;-9.000000;61.000000;51.000000;61.000000;21.000000;1.000000;11.000000;31.000000;1650.000000;
10;4657;1;1780;3566;1780.000000;1.000000;1.000000;1.000000;1.000000;51.000000;1.000000;71.000000;31.000000;61.000000;1.000000;11.000000;1.000000;61.000000;31.000000;-9.000000;71.000000;1.000000;11.000000;41.000000;31.000000;41.000000;81.000000;1.000000;61.000000;1.000000;81.000000;81.000000;61.000000;71.000000;1.000000;-9.000000;51.000000;61.000000;-9.000000;61.000000;21.000000;51.000000;41.000000;1.000000;81.000000;71.000000;21.000000;-9.000000;51.000000;71.000000;41.000000;81.000000;41.000000;21.000000;21.000000;71.000000;21.000000;41.000000;1.000000;11.000000;61.000000;11.000000;21.000000;41.000000;-9.000000;31.000000;31.000000;21.000000;41.000000;-9.000000;21.000000;11.000000;71.000000;1780.000000;
