otree;Ankunftszpkt;Lieferzeitpunkt;Bearbeitungszeit;Auftrags-ID (für uns intern);;FLEXSIM;Ankunftszpkt;Lieferzeitpunkt;Bearbeitungszeit;Auftrags-ID (für uns intern);;;
;-81;10;;1;;;0;10;;1;;;
;-81;10;;2;;;0;10;;2;;;
;-71;20;;3;;;0;20;;3;;;
;-71;20;;4;;;0;20;;4;;;
;-61;30;;5;;;0;30;;5;;;KOVARNORO
;-61;30;;6;;;0;30;;6;;;
;-51;40;;7;;;0;40;;7;;;
;-51;40;;8;;;0;40;;8;;;
;-41;50;;9;;;0;50;;9;;;
;-41;50;;10;;;0;50;;10;;;
;-31;60;;11;;;0;60;;11;;;
;-31;60;;12;;;0;60;;12;;;
;-21;70;;13;;;0;70;;13;;;
;-21;70;;14;;;0;70;;14;;;
;-11;80;;15;;;0;80;;15;;;
;-11;80;;16;;;0;80;;16;;;
;-1;90;;17;;;0;90;;17;;;
;-1;90;;18;;;0;90;;18;;;
;9;100;;19;;;9;100;;19;;;
;9;100;;20;;;9;100;;20;;;
;19;110;;21;;;19;110;;21;;;
;19;110;;22;;;19;110;;22;;;
;29;120;;23;;;29;120;;23;;;
;29;120;;24;;;29;120;;24;;;
;39;130;;25;;;39;130;;25;;;
;39;130;;26;;;39;130;;26;;;
;49;140;;27;;;49;140;;27;;;
;49;140;;28;;;49;140;;28;;;
;59;150;;29;;;59;150;;29;;;
;59;150;;30;;;59;150;;30;;;
;69;160;;31;;;69;160;;31;;;
;69;160;;32;;;69;160;;32;;;
;79;170;;33;;;79;170;;33;;;
;79;170;;34;;;79;170;;34;;;
;89;180;;35;;;89;180;;35;;;
;89;180;;36;;;89;180;;36;;;
;99;190;;37;;;99;190;;37;;;
;99;190;;38;;;99;190;;38;;;
;109;200;;39;;;109;200;;39;;;
;109;200;;40;;;109;200;;40;;;
;119;210;;41;;;119;210;;41;;;
;119;210;;42;;;119;210;;42;;;
;129;220;;43;;;129;220;;43;;;
;129;220;;44;;;129;220;;44;;;
;139;230;;45;;;139;230;;45;;;
;139;230;;46;;;139;230;;46;;;
;149;240;;47;;;149;240;;47;;;
;149;240;;48;;;149;240;;48;;;
;159;250;;49;;;159;250;;49;;;
;159;250;;50;;;159;250;;50;;;
;169;260;;51;;;169;260;;51;;;
;169;260;;52;;;169;260;;52;;;
;179;270;;53;;;179;270;;53;;;
;179;270;;54;;;179;270;;54;;;
;189;280;;55;;;189;280;;55;;;
;189;280;;56;;;189;280;;56;;;
;199;290;;57;;;199;290;;57;;;
;199;290;;58;;;199;290;;58;;;
;209;300;;59;;;209;300;;59;;;
;209;300;;60;;;209;300;;60;;;
;219;310;;61;;;219;310;;61;;;
;219;310;;62;;;219;310;;62;;;
;229;320;;63;;;229;320;;63;;;
;229;320;;64;;;229;320;;64;;;
;239;330;;65;;;239;330;;65;;;
;239;330;;66;;;239;330;;66;;;
;249;340;;67;;;249;340;;67;;;
;249;340;;68;;;249;340;;68;;;
