otree;Ankunftszpkt;Lieferzeitpunkt;Bearbeitungszeit;Auftrags-ID (für uns intern);;FLEXSIM;Ankunftszpkt;Lieferzeitpunkt;Bearbeitungszeit;Auftrags-ID (für uns intern);;
;-81;10;4.5;1;;;0;10;4.5;1;;
;-81;10;4.5;2;;;0;10;4.5;2;;
;-71;20;4.5;3;;;0;20;4.5;3;;
;-51;40;4.5;4;;;0;40;4.5;4;;
;-41;50;4.5;5;;;0;50;4.5;5;;
;-41;50;4.5;6;;;0;50;4.5;6;;SaiKONORO
;-31;60;4.5;7;;;0;60;4.5;7;;
;-31;60;4.5;8;;;0;60;4.5;8;;
;-31;60;4.5;9;;;0;60;4.5;9;;
;-21;70;4.5;10;;;0;70;4.5;10;;
;-21;70;4.5;11;;;0;70;4.5;11;;
;-21;70;4.5;12;;;0;70;4.5;12;;
;-21;70;4.5;13;;;0;70;4.5;13;;
;-11;80;4.5;14;;;0;80;4.5;14;;
;-11;80;4.5;15;;;0;80;4.5;15;;
;-11;80;4.5;16;;;0;80;4.5;16;;
;-11;80;4.5;17;;;0;80;4.5;17;;
;-1;90;4.5;18;;;0;90;4.5;18;;
;-1;90;4.5;19;;;0;90;4.5;19;;
;-1;90;4.5;20;;;0;90;4.5;20;;
;9;100;4.5;21;;;9;100;4.5;21;;
;9;100;4.5;22;;;9;100;4.5;22;;
;19;110;4.5;23;;;19;110;4.5;23;;
;39;130;4.5;24;;;39;130;4.5;24;;
;49;140;4.5;25;;;49;140;4.5;25;;
;49;140;4.5;26;;;49;140;4.5;26;;
;59;150;4.5;27;;;59;150;4.5;27;;
;59;150;4.5;28;;;59;150;4.5;28;;
;59;150;4.5;29;;;59;150;4.5;29;;
;69;160;4.5;30;;;69;160;4.5;30;;
;69;160;4.5;31;;;69;160;4.5;31;;
;69;160;4.5;32;;;69;160;4.5;32;;
;69;160;4.5;33;;;69;160;4.5;33;;
;79;170;4.5;34;;;79;170;4.5;34;;
;79;170;4.5;35;;;79;170;4.5;35;;
;79;170;4.5;36;;;79;170;4.5;36;;
;79;170;4.5;37;;;79;170;4.5;37;;
;89;180;4.5;38;;;89;180;4.5;38;;
;89;180;4.5;39;;;89;180;4.5;39;;
;89;180;4.5;40;;;89;180;4.5;40;;
;99;190;4.5;41;;;99;190;4.5;41;;
;99;190;4.5;42;;;99;190;4.5;42;;
;109;200;4.5;43;;;109;200;4.5;43;;
;129;220;4.5;44;;;129;220;4.5;44;;
;139;230;4.5;45;;;139;230;4.5;45;;
;139;230;4.5;46;;;139;230;4.5;46;;
;149;240;4.5;47;;;149;240;4.5;47;;
;149;240;4.5;48;;;149;240;4.5;48;;
;149;240;4.5;49;;;149;240;4.5;49;;
;159;250;4.5;50;;;159;250;4.5;50;;
;159;250;4.5;51;;;159;250;4.5;51;;
;159;250;4.5;52;;;159;250;4.5;52;;
;159;250;4.5;53;;;159;250;4.5;53;;
;169;260;4.5;54;;;169;260;4.5;54;;
;169;260;4.5;55;;;169;260;4.5;55;;
;169;260;4.5;56;;;169;260;4.5;56;;
;169;260;4.5;57;;;169;260;4.5;57;;
;179;270;4.5;58;;;179;270;4.5;58;;
;179;270;4.5;59;;;179;270;4.5;59;;
;179;270;4.5;60;;;179;270;4.5;60;;
;189;280;4.5;61;;;189;280;4.5;61;;
;189;280;4.5;62;;;189;280;4.5;62;;
;199;290;4.5;63;;;199;290;4.5;63;;
;219;310;4.5;64;;;219;310;4.5;64;;
;229;320;4.5;65;;;229;320;4.5;65;;
;229;320;4.5;66;;;229;320;4.5;66;;
;239;330;4.5;67;;;239;330;4.5;67;;
;239;330;4.5;68;;;239;330;4.5;68;;
